0.168 0.177 0.176 0.184 0.173 0.165 0.147 0.14 0.168 0.199 0.164
0.165 0.173 0.173 0.182 0.17 0.163 0.142 0.136 0.164 0.196 0.161
0.366 0.352 0.373 0.378 0.39 0.365 0.353 0.351 0.381 0.372 0.368
0.337 0.327 0.35 0.334 0.363 0.34 0.325 0.325 0.355 0.363 0.344
0.279 0.275 0.293 0.243 0.293 0.273 0.267 0.274 0.297 0.278 0.28
0.241 0.264 0.261 0.222 0.255 0.238 0.235 0.239 0.256 0.26 0.252
0.222 0.255 0.232 0.208 0.235 0.219 0.219 0.222 0.237 0.25 0.236
0.211 0.247 0.217 0.199 0.221 0.206 0.207 0.21 0.224 0.242 0.225
0.214 0.24 0.207 0.193 0.21 0.197 0.197 0.226 0.214 0.235 0.234
0.206 0.233 0.199 0.188 0.201 0.19 0.188 0.21 0.205 0.23 0.224
0.199 0.227 0.192 0.185 0.195 0.184 0.181 0.201 0.198 0.225 0.216
0.194 0.222 0.187 0.182 0.189 0.18 0.174 0.193 0.191 0.221 0.208
0.189 0.216 0.183 0.179 0.185 0.176 0.167 0.186 0.185 0.217 0.201
0.185 0.211 0.18 0.177 0.181 0.172 0.161 0.179 0.18 0.214 0.195
0.181 0.207 0.212 0.206 0.178 0.169 0.156 0.211 0.175 0.21 0.222
0.178 0.202 0.184 0.182 0.175 0.167 0.151 0.179 0.171 0.207 0.196
0.174 0.198 0.181 0.179 0.172 0.164 0.146 0.173 0.167 0.204 0.191
0.171 0.194 0.178 0.177 0.169 0.162 0.142 0.167 0.163 0.201 0.186
0.272 0.222 0.265 0.175 0.302 0.291 0.274 0.176 0.299 0.254 0.191
0.242 0.245 0.197 0.173 0.244 0.236 0.215 0.167 0.242 0.265 0.186
0.359 0.37 0.375 0.363 0.37 0.358 0.335 0.356 0.359 0.372 0.379
0.325 0.307 0.325 0.316 0.317 0.305 0.291 0.282 0.317 0.306 0.299
0.253 0.276 0.266 0.283 0.275 0.267 0.245 0.248 0.267 0.283 0.271
0.235 0.268 0.254 0.272 0.263 0.257 0.234 0.237 0.255 0.277 0.26
0.224 0.26 0.244 0.263 0.253 0.248 0.224 0.226 0.244 0.27 0.25
0.324 0.253 0.311 0.299 0.244 0.241 0.214 0.217 0.235 0.271 0.24
0.257 0.246 0.275 0.278 0.236 0.233 0.206 0.209 0.226 0.263 0.232
0.234 0.239 0.26 0.268 0.228 0.227 0.197 0.2 0.218 0.258 0.224
0.218 0.233 0.249 0.26 0.221 0.221 0.19 0.193 0.21 0.252 0.217
0.354 0.371 0.358 0.371 0.369 0.34 0.338 0.349 0.361 0.377 0.372
0.281 0.304 0.292 0.293 0.311 0.286 0.319 0.286 0.333 0.31 0.3
